"date","fips","mmwr_week","recip_county","recip_state","series_complete_pop_pct","series_complete_yes","series_complete_12plus","series_complete_12pluspop","series_complete_18plus","series_complete_18pluspop","series_complete_65plus","series_complete_65pluspop","completeness_pct","administered_dose1_recip","administered_dose1_pop_pct","administered_dose1_recip_12plus","administered_dose1_recip_12pluspop_pct","administered_dose1_recip_18plus","administered_dose1_recip_18pluspop_pct","administered_dose1_recip_65plus","administered_dose1_recip_65pluspop_pct","svi_ctgy","series_complete_pop_pct_svi","series_complete_12pluspop_pct_svi","series_complete_18pluspop_pct_svi","series_complete_65pluspop_pct_svi"
"2021-08-23T00:00:00.000","02100","34","Haines Borough","AK","61.1","1547","1544","68.3","1472","71","440","80.3","96.9","1612","63.7","1609","71.2","1534","74","451","82.3","Low","High VC/Low SVI","High VC/Low SVI","High VC/Low SVI","High VC/Low SVI"
"2021-08-23T00:00:00.000","33001","34","Belknap County","NH","53","32484","32479","59.8","31128","62.1","11444","81.9","94","36449","59.5","36433","67.1","34713","69.3","12634","90.4","Low","High VC/Low SVI","High VC/Low SVI","High VC/Low SVI","High VC/Low SVI"
"2021-08-23T00:00:00.000","51179","34","Stafford County","VA","32.2","49286","49186","38.6","44998","39.7","8807","53.6","51.3","56453","36.9","56286","44.1","50826","44.9","9655","58.8","Low","Low-Mod VC/Low SVI","Low-Mod VC/Low SVI","Low-Mod VC/Low SVI","Mod-High VC/Low SVI"
"2021-08-23T00:00:00.000","50013","34","Grand Isle County","VT","67.9","4909","4909","76.9","4653","78.4","1584","99.9","73.7","5527","76.4","5526","86.6","5242","88.4","1725","99.9","Low","High VC/Low SVI","High VC/Low SVI","High VC/Low SVI","High VC/Low SVI"
"2021-08-23T00:00:00.000","39017","34","Butler County","OH","45.5","174425","174425","53.6","164680","56","46541","80.3","97.6","184617","48.2","184611","56.7","172920","58.8","47939","82.7","Low-Mod","Mod-High VC/Low-Mod SVI","High VC/Low-Mod SVI","High VC/Low-Mod SVI","High VC/Low-Mod SVI"
"2021-08-23T00:00:00.000","13221","34","Oglethorpe County","GA","21.8","3329","3329","25.2","3214","26.6","1323","44.7","54.9","3800","24.9","3800","28.7","3608","29.8","1411","47.7","Mod-High","Low VC/Mod-High SVI","Low VC/Mod-High SVI","Low VC/Mod-High SVI","Low-Mod VC/Mod-High SVI"
"2021-08-23T00:00:00.000","29057","34","Dade County","MO","36.2","2738","2738","41.6","2669","44.5","1220","67.6","91","3168","41.9","3168","48.1","3070","51.2","1363","75.5","Mod-High","Low-Mod VC/Mod-High SVI","Mod-High VC/Mod-High SVI","Mod-High VC/Mod-High SVI","Mod-High VC/Mod-High SVI"
"2021-08-23T00:00:00.000","48215","34","Hidalgo County","TX","0","0","0","0.0","0","0","0","0","0","0","0","0","0.0","0","0","0","0","High",,,,
"2021-08-23T00:00:00.000","05001","34","Arkansas County","AR","41.8","7317","7314","49.5","7018","52.1","2464","69.4","89.7","9323","53.3","9318","63.0","8727","64.7","2800","78.9","High","Mod-High VC/High SVI","Mod-High VC/High SVI","High VC/High SVI","Mod-High VC/High SVI"
"2021-08-23T00:00:00.000","25021","34","Norfolk County","MA","65.9","465795","464208","75.7","428961","76.6","100472","82.5","89.4","514846","72.8","512565","83.6","471067","84.1","109594","90","Low","High VC/Low SVI","High VC/Low SVI","High VC/Low SVI","High VC/Low SVI"
